,MES DE RECOLECCION,ID,Código factura TR,Fabricante,Marca,Distribuidor TR,Descripciones TR,Codigos de barras TR,Codigo ref en Factura,Descripcion en factura,Tipo promocion,Codigo ref en Factura Dinamica,Descripcion en factura Dinamica,CIUDAD
10,2022-06-01,2671,F2145,DRYPERS ANDINA S.A,ELITE,DSOSA S.A.S,PAPEL HIGIENICO ELITE DUO EL ROLLAZO X 1 UN,"7707199341060, 7707199345167, 7707199348380",5100441,P.H ROJO ELITE DUO ROLLAZO *24,SIN DINAMICA PROMOCIONAL,,,BOGOTA
11,2022-06-01,1311,F2146,DRYPERS ANDINA S.A,ELITE,SURTIMAR P Y G,PAPEL HIGIENICO ELITE DUO EL ROLLAZO X 1 UN,"7707199341060, 7707199345167, 7707199348380",351,ELITE ROLLAZO *12,SIN DINAMICA PROMOCIONAL,,,BOGOTA
12,2022-06-01,2706,F2149,PAPELES NACIONALES S.A.,ROSAL,SURTILIDER S.A.S,PAPEL HIGIENICO ROSAL PLUS TRIPLE HOJA X 1 UN,7702120010169,210185,PAPEL HIG S.S 2EN1 X 18UND*,SIN DINAMICA PROMOCIONAL,,,BOGOTA
13,2022-06-01,1627,F2156,COLOMBIANA KIMBERLY COLPAPEL,SCOTT,COORATIENDAS,"PAPEL HIGIENICO SCOTT DOBLE HIGIENE X 1 UN, PAPEL HIGIÉNICO SCOTT DOBLE HIGIENE X 1 UN","7702425810150, 7702425810655",,PH SCOTT DOBLE HIGIENE 24X1 PX24 UND,SIN DINAMICA PROMOCIONAL,,,BOGOTA
14,2022-06-01,1627,F2157,DRYPERS ANDINA S.A,ELITE,DULMARCAS M&M S.A.S,PAPEL HIGIENICO ELITE DUO EL ROLLAZO X 1 UN,"7707199341060, 7707199345167, 7707199348380",ELIT03,PAP HIG ROLLAZO ROJO X24,SIN DINAMICA PROMOCIONAL,,,BOGOTA
15,2022-06-01,1096,F2158,DRYPERS ANDINA S.A,ELITE,INVERSIONES DULCENET SAS,PAPEL HIGIENICO ELITE DUO EL ROLLAZO X 1 UN,"7707199341060, 7707199345167, 7707199348380",08040,PH ROLLAZO+TOALLA COCINA 70HJ,CON DINAMICA PROMOCIONAL,08040,PH ROLLAZO+TOALLA COCINA 70HJ,BOGOTA
16,2022-06-01,1355,F2159,DRYPERS ANDINA S.A,ELITE,T.A.T DIMAR S.A.S,PAPEL HIGIENICO ELITE DUO EL ROLLOTE X 1 UN,"7707199348809, 7707199345006, 7707199345488",17061,PAPEL HIGIENICO ELITE DUO ROLLOTE X 24,SIN DINAMICA PROMOCIONAL,,,BOGOTA
17,2022-06-01,1355,F2160,PAPELES NACIONALES S.A.,ROSAL,T.A.T DIMAR S.A.S,"PAPEL HIGIENICO ROSAL SUPER ROLL X 1 UN, PAPEL HIGIENICO ROSAL PLUS SUPER ROLLO ROSAL X 80 GR","7702120010213, 7702120012781",21078-1,PAPEL ROSAL  XXG PG 12 LLV 13,CON DINAMICA PROMOCIONAL,21078-1,PAPEL ROSAL  XXG PG 12 LLV 13,BOGOTA
18,2022-06-01,433,F2168,DRYPERS ANDINA S.A,ELITE,SURTILIDER S.A.S,PAPEL HIGIENICO ELITE DUO EL ROLLAZO X 1 UN,"7707199341060, 7707199345167, 7707199348380",590016,PAP.  HIG ELITE ROJO X24U*,SIN DINAMICA PROMOCIONAL,,,BOGOTA
19,2022-06-01,433,F2169,DRYPERS ANDINA S.A,ELITE,SURTILIDER S.A.S,PAPEL HIGIENICO ELITE DUO EL ROLLAZO X 1 UN,"7707199341060, 7707199345167, 7707199348380",590016,PAP.  HIG ELITE ROJO X24U*,SIN DINAMICA PROMOCIONAL,,,BOGOTA
20,2022-06-01,433,F2170,DRYPERS ANDINA S.A,ELITE,SURTILIDER S.A.S,PAPEL HIGIENICO ELITE DUO EL ROLLAZO X 1 UN,"7707199341060, 7707199345167, 7707199348380",590016,PAP.  HIG ELITE ROJO X24U*,SIN DINAMICA PROMOCIONAL,,,BOGOTA
21,2022-06-01,433,F2171,DRYPERS ANDINA S.A,ELITE,SURTILIDER S.A.S,PAPEL HIGIENICO ELITE DUO EL ROLLAZO X 1 UN,"7707199341060, 7707199345167, 7707199348380",590016,PAP.  HIG ELITE ROJO X24U*,SIN DINAMICA PROMOCIONAL,,,BOGOTA
22,2022-06-01,433,F2172,DRYPERS ANDINA S.A,ELITE,SURTILIDER S.A.S,PAPEL HIGIENICO ELITE DUO EL ROLLAZO X 1 UN,"7707199341060, 7707199345167, 7707199348380",590016,PAP.  HIG ELITE ROJO X24U*,SIN DINAMICA PROMOCIONAL,,,BOGOTA
23,2022-06-01,433,F2173,DRYPERS ANDINA S.A,ELITE,SURTILIDER S.A.S,PAPEL HIGIENICO ELITE DUO EL ROLLAZO X 1 UN,"7707199341060, 7707199345167, 7707199348380",590016,PAP.  HIG ELITE ROJO X24U*,SIN DINAMICA PROMOCIONAL,,,BOGOTA
24,2022-06-01,433,F2174,DRYPERS ANDINA S.A,ELITE,SURTILIDER S.A.S,PAPEL HIGIENICO ELITE DUO EL ROLLAZO X 1 UN,"7707199341060, 7707199345167, 7707199348380",590016,PAP.  HIG ELITE ROJO X24U*,SIN DINAMICA PROMOCIONAL,,,BOGOTA
25,2022-06-01,433,F2175,DRYPERS ANDINA S.A,ELITE,SURTILIDER S.A.S,PAPEL HIGIENICO ELITE DUO EL ROLLAZO X 1 UN,"7707199341060, 7707199345167, 7707199348380",590016,PAP.  HIG ELITE ROJO X24U*,SIN DINAMICA PROMOCIONAL,,,BOGOTA
26,2022-06-01,433,F2176,DRYPERS ANDINA S.A,ELITE,SURTILIDER S.A.S,PAPEL HIGIENICO ELITE DUO EL ROLLAZO X 1 UN,"7707199341060, 7707199345167, 7707199348380",590016,PAP.  HIG ELITE ROJO X24U*,SIN DINAMICA PROMOCIONAL,,,BOGOTA
27,2022-06-01,433,F2177,DRYPERS ANDINA S.A,ELITE,SURTILIDER S.A.S,PAPEL HIGIENICO ELITE DUO EL ROLLAZO X 1 UN,"7707199341060, 7707199345167, 7707199348380",590016,PAP.  HIG ELITE ROJO X24U*,SIN DINAMICA PROMOCIONAL,,,BOGOTA
28,2022-06-01,433,F2178,DRYPERS ANDINA S.A,ELITE,SURTILIDER S.A.S,PAPEL HIGIENICO ELITE DUO EL ROLLAZO X 1 UN,"7707199341060, 7707199345167, 7707199348380",590016,PAP.  HIG ELITE ROJO X24U*,SIN DINAMICA PROMOCIONAL,,,BOGOTA
29,2022-06-01,433,F2179,DRYPERS ANDINA S.A,ELITE,SURTILIDER S.A.S,PAPEL HIGIENICO ELITE DUO EL ROLLAZO X 1 UN,"7707199341060, 7707199345167, 7707199348380",590016,PAP.  HIG ELITE ROJO X24U*,SIN DINAMICA PROMOCIONAL,,,BOGOTA
30,2022-06-01,433,F2180,DRYPERS ANDINA S.A,ELITE,SURTILIDER S.A.S,PAPEL HIGIENICO ELITE DUO EL ROLLAZO X 1 UN,"7707199341060, 7707199345167, 7707199348380",590016,PAP.  HIG ELITE ROJO X24U*,SIN DINAMICA PROMOCIONAL,,,BOGOTA
31,2022-06-01,433,F2181,DRYPERS ANDINA S.A,ELITE,SURTILIDER S.A.S,PAPEL HIGIENICO ELITE DUO EL ROLLAZO X 1 UN,"7707199341060, 7707199345167, 7707199348380",590016,PAP.  HIG ELITE ROJO X24U*,SIN DINAMICA PROMOCIONAL,,,BOGOTA
32,2022-06-01,433,F2182,DRYPERS ANDINA S.A,ELITE,SURTILIDER S.A.S,PAPEL HIGIENICO ELITE DUO EL ROLLAZO X 1 UN,"7707199341060, 7707199345167, 7707199348380",590016,PAP.  HIG ELITE ROJO X24U*,SIN DINAMICA PROMOCIONAL,,,BOGOTA
33,2022-06-01,2645,F2183,DRYPERS ANDINA S.A,ELITE,DISMA LTDA,PAPEL HIGIENICO ELITE DUO EL ROLLAZO X 1 UN,"7707199341060, 7707199345167, 7707199348380",9614,MEGARROLLAZOX24,SIN DINAMICA PROMOCIONAL,,,BOGOTA
34,2022-06-01,1267,F2185,COLOMBIANA KIMBERLY COLPAPEL,SCOTT,CANDY GLOBAL S.A.S,PAPEL HIGIENICO SCOTT CUIDADO COMPLETO TRIPLE HOJA X 1 UN,7702425803015,16062-9,PAPEL SCOTT CUIDADO COMPLETO X 24 UND GTS ROLLO CUIDADO COMPL,CON DINAMICA PROMOCIONAL,16062-9,PAPEL SCOTT CUIDADO COMPLETO X 24 UND GTS ROLLO CUIDADO COMPL,BOGOTA
35,2022-06-01,2718,F2193,DRYPERS ANDINA S.A,ELITE,DISTRIBUIDORA OMERLAC SAS,PAPEL HIGIENICO ELITE MAX X 1 UN,"7707199345419, 7707199340155",510050,PH ELITE  MAX ROSADO X30 UNID,SIN DINAMICA PROMOCIONAL,,,BOGOTA
36,2022-06-01,1609,F2196,DRYPERS ANDINA S.A,ELITE,DISTRIBUIDORA OMERLAC SAS,PAPEL HIGIENICO ELITE DUO EL ROLLAZO X 1 UN,"7707199341060, 7707199345167, 7707199348380",510044,PH ELITE ROLLAZO 1 X24,SIN DINAMICA PROMOCIONAL,,,BOGOTA
37,2022-06-01,1609,F2197,DRYPERS ANDINA S.A,ELITE,DISTRIBUIDORA OMERLAC SAS,PAPEL HIGIENICO ELITE DUO EL ROLLAZO X 1 UN,"7707199341060, 7707199345167, 7707199348380",510044,PH ELITE ROLLAZO 1 X24,SIN DINAMICA PROMOCIONAL,,,BOGOTA
38,2022-06-01,966,F2198,COLOMBIANA KIMBERLY COLPAPEL,SCOTT,CONFI SPRESS,PAPEL HIGIENICO SCOTT CUIDADO COMPLETO TRIPLE HOJA X 1 UN,7702425803015,16062-9,PAPEL SCOTT CUIDADO COMPLETO X 24 UND GTS ROLLO CUIDADO COMPL,CON DINAMICA PROMOCIONAL,16062-9,PAPEL SCOTT CUIDADO COMPLETO X 24 UND GTS ROLLO CUIDADO COMPL,BOGOTA
39,2022-06-01,2671,F2199,DRYPERS ANDINA S.A,ELITE,DSOSA S.A.S,PAPEL HIGIENICO ELITE DUO EL ROLLOTE X 1 UN,"7707199348809, 7707199345006, 7707199345488",5100491,P.H AMARILLO ELITE* 24,SIN DINAMICA PROMOCIONAL,,,BOGOTA
40,2022-06-01,2706,F2200,DRYPERS ANDINA S.A,ELITE,SURTILIDER S.A.S,PAPEL HIGIENICO ELITE DUO EL ROLLAZO X 1 UN,"7707199341060, 7707199345167, 7707199348380",590016,PAP.  HIG ELITE ROJO X24U*,SIN DINAMICA PROMOCIONAL,,,BOGOTA
41,2022-06-01,2706,F2201,DRYPERS ANDINA S.A,ELITE,DISTRIBUIDORA SURTIMARCAS BOGOTA S.A.S,PAPEL HIGIENICO ELITE MAX X 1 UN,"7707199345419, 7707199340155",,PAPEL ELITE MAX X30 UNIDADES,SIN DINAMICA PROMOCIONAL,,,BOGOTA
42,2022-06-01,763,F2203,COLOMBIANA KIMBERLY COLPAPEL,SCOTT,CONFI SPRESS,PAPEL HIGIENICO SCOTT CUIDADO COMPLETO TRIPLE HOJA X 1 UN,7702425803015,16062-9,PAPEL SCOTT CUIDADO COMPLETO X 24 UND GTS ROLLO CUIDADO COMPL,CON DINAMICA PROMOCIONAL,16062-9,PAPEL SCOTT CUIDADO COMPLETO X 24 UND GTS ROLLO CUIDADO COMPL,BOGOTA
43,2022-06-01,763,F2204,COLOMBIANA KIMBERLY COLPAPEL,SCOTT,CONFI SPRESS,PAPEL HIGIENICO SCOTT CUIDADO COMPLETO TRIPLE HOJA X 1 UN,7702425803015,16062-9,PAPEL SCOTT CUIDADO COMPLETO X 24 UND GTS ROLLO CUIDADO COMPL,CON DINAMICA PROMOCIONAL,16062-9,PAPEL SCOTT CUIDADO COMPLETO X 24 UND GTS ROLLO CUIDADO COMPL,BOGOTA
44,2022-06-01,1311,F2208,DRYPERS ANDINA S.A,ELITE,SURTIMAR P Y G,PAPEL HIGIENICO ELITE DUO EL ROLLOTE X 1 UN,"7707199348809, 7707199345006, 7707199345488",352,ELITE AMARILLO *12,SIN DINAMICA PROMOCIONAL,,,BOGOTA
45,2022-06-01,1311,F2209,COLOMBIANA KIMBERLY COLPAPEL,SCOTT,CONFI SPRESS,PAPEL HIGIENICO SCOTT CUIDADO COMPLETO TRIPLE HOJA X 1 UN,7702425803015,16062-9,PAPEL SCOTT CUIDADO COMPLETO X 24 UND GTS ROLLO CUIDADO COMPL,CON DINAMICA PROMOCIONAL,16062-9,PAPEL SCOTT CUIDADO COMPLETO X 24 UND GTS ROLLO CUIDADO COMPL,BOGOTA
46,2022-06-01,395,F2211,COLOMBIANA KIMBERLY COLPAPEL,SCOTT,CONFI SPRESS,PAPEL HIGIENICO SCOTT CUIDADO COMPLETO TRIPLE HOJA X 1 UN,7702425803015,16062-9,PAPEL SCOTT CUIDADO COMPLETO X 24 UND GTS ROLLO CUIDADO COMPL,CON DINAMICA PROMOCIONAL,16062-9,PAPEL SCOTT CUIDADO COMPLETO X 24 UND GTS ROLLO CUIDADO COMPL,BOGOTA
47,2022-06-01,511,F2212,DRYPERS ANDINA S.A,ELITE,DISMA LTDA,PAPEL HIGIENICO ELITE MAX X 1 UN,"7707199345419, 7707199340155",9612,ELITE ROSADOX30,SIN DINAMICA PROMOCIONAL,,,BOGOTA
48,2022-06-01,1576,F2240,DRYPERS ANDINA S.A,ELITE,DISTRIBUIDORA OMERLAC SAS,PAPEL HIGIENICO ELITE MAX X 1 UN,"7707199345419, 7707199340155",510050,PH ELITE MAX ROSADO X30 UNID,SIN DINAMICA PROMOCIONAL,,,BOGOTA
49,2022-06-01,947,F2241,PAPELES NACIONALES S.A.,ROSAL,SURTILIDER S.A.S,"PAPEL HIGIENICO ROSAL SUPER ROLL X 1 UN, PAPEL HIGIENICO ROSAL PLUS SUPER ROLLO ROSAL X 80 GR","7702120010213, 7702120012781",210193,SUPER ROLLO XXG X12UND*,SIN DINAMICA PROMOCIONAL,,,BOGOTA
50,2022-06-01,937,F2244,COLOMBIANA KIMBERLY COLPAPEL,SCOTT,CANDY GLOBAL S.A.S,"PAPEL HIGIENICO SCOTT DOBLE HIGIENE X 1 UN, PAPEL HIGIÉNICO SCOTT DOBLE HIGIENE X 1 UN","7702425810150, 7702425810655",16061,PAPEL SCOTT DOB HIG X30MT X24UND,SIN DINAMICA PROMOCIONAL,,,BOGOTA
51,2022-06-01,937,F2246,PAPELES NACIONALES S.A.,ROSAL,BODEGA ORIENTAL,PAPEL HIGIENICO ROSAL PLUS TRIPLE HOJA X 1 UN,7702120010169,,PC ROSAL X 54,SIN DINAMICA PROMOCIONAL,,,BOGOTA
52,2022-06-01,937,F2247,DRYPERS ANDINA S.A,ELITE,BODEGA ORIENTAL,PAPEL HIGIENICO ELITE DUO EL ROLLAZO X 1 UN,"7707199341060, 7707199345167, 7707199348380",,PC ELITE X24 ROJO,SIN DINAMICA PROMOCIONAL,,,BOGOTA
53,2022-06-01,937,F2247,DRYPERS ANDINA S.A,ELITE,BODEGA ORIENTAL,PAPEL HIGIENICO ELITE DUO EL ROLLOTE X 1 UN,"7707199348809, 7707199345006, 7707199345488",,PC ELITE AMARILLO X24,SIN DINAMICA PROMOCIONAL,,,BOGOTA
54,2022-06-01,1366,F2248,DRYPERS ANDINA S.A,ELITE,DISTRIVENTAS DANALEG,PAPEL HIGIENICO ELITE DUO EL ROLLAZO X 1 UN,"7707199341060, 7707199345167, 7707199348380",,PAPEL ELITE DUO ROLLAZO (ROJO) 24 UNIDADES,SIN DINAMICA PROMOCIONAL,,,BOGOTA
55,2022-06-01,1491,F2258,PAPELES NACIONALES S.A.,ROSAL,DISTRIBUCIONES EL ROSAL,PAPEL HIGIENICO ROSAL PLUS TRIPLE HOJA X 1 UN,7702120010169,,ROSAL 2 EN 1 X 18,SIN DINAMICA PROMOCIONAL,,,BOGOTA
56,2022-06-01,1598,F2263,PAPELES NACIONALES S.A.,ROSAL,SURTIMERCADOS QG SAS,PAPEL HIGIENICO ROSAL PLUS TRIPLE HOJA X 1 UN,7702120010169,NO VISIBLE,PAPEL HIG ROSAL G 22M PAG 18 LLEV 19,CON DINAMICA PROMOCIONAL,NO VISIBLE,PAPEL HIG ROSAL G 22M PAG 18 LLEV 19,BOGOTA
57,2022-06-01,2644,F2293,PAPELES NACIONALES S.A.,ROSAL,SURTILIDER S.A.S,PAPEL HIGIENICO ROSAL PLUS TRIPLE HOJA X 1 UN,7702120010169,210185,PAPEL HIG S.S 2EN1 X18UND*,SIN DINAMICA PROMOCIONAL,,,BOGOTA
58,2022-06-01,166,F2294,PAPELES NACIONALES S.A.,ROSAL,GRUPO RV S.A.S,"PAPEL HIGIENICO ROSAL SUPER ROLL X 1 UN, PAPEL HIGIENICO ROSAL PLUS SUPER ROLLO ROSAL X 80 GR","7702120010213, 7702120012781",NO VISIBLE,ROSAL SUPERROLLO PAG-12  LLV-13,CON DINAMICA PROMOCIONAL,NO VISIBLE,ROSAL SUPERROLLO PAG-12  LLV-13,BOGOTA
59,2022-06-01,763,F2205,DRYPERS ANDINA S.A,ELITE,DISTRIBUIDORA SURTIMARCAS BOGOTA S.A.S,PAPEL HIGIENICO ELITE DUO EL ROLLAZO X 1 UN,"7707199341060, 7707199345167, 7707199348380",,PAPEL ELITE DUO ROLLAZO X 12U,SIN DINAMICA PROMOCIONAL,,,BOGOTA
60,2022-06-01,2706,F2307,PAPELES NACIONALES S.A.,ROSAL,SURTILIDER S.A.S,PAPEL HIGIENICO ROSAL PLUS TRIPLE HOJA X 1 UN,7702120010169,210185,PAPEL HIG S.S 2EN1 X18UND*,SIN DINAMICA PROMOCIONAL,,,BOGOTA
61,2022-06-01,1627,F2313,DRYPERS ANDINA S.A,ELITE,NUTRIUM S.A.S,PAPEL HIGIENICO ELITE DUO EL ROLLOTE X 1 UN,"7707199348809, 7707199345006, 7707199345488",1616993,PH E.DUO T-HOJ AMAROLLOTE X 24 ,SIN DINAMICA PROMOCIONAL,,,BOGOTA
62,2022-06-01,1156,F2314,DRYPERS ANDINA S.A,ELITE,DULMARCAS M&M S.A.S,PAPEL HIGIENICO ELITE MAX X 1 UN,"7707199345419, 7707199340155",ELIT04,PAP HIG ELI MAX AZUL X30,SIN DINAMICA PROMOCIONAL,,,BOGOTA
63,2022-06-01,2671,F2315,DRYPERS ANDINA S.A,ELITE,DSOSA S.A.S,PAPEL HIGIENICO ELITE MAX X 1 UN,"7707199345419, 7707199340155",NO VISIBLE,P.H AZUL ELITE MAX *30 UND,SIN DINAMICA PROMOCIONAL,,,BOGOTA
64,2022-06-01,1355,F2316,PAPELES NACIONALES S.A.,ROSAL,LA CATLEYA AC SAS,PAPEL HIGIENICO ROSAL PLUS TRIPLE HOJA X 1 UN,7702120010169,21099,PAPEL ROSAL G. X 18 UND,SIN DINAMICA PROMOCIONAL,,,BOGOTA
65,2022-06-01,1355,F2316,PAPELES NACIONALES S.A.,ROSAL,LA CATLEYA AC SAS,"PAPEL HIGIENICO ROSAL SUPER ROLL X 1 UN, PAPEL HIGIENICO ROSAL PLUS SUPER ROLLO ROSAL X 80 GR","7702120010213, 7702120012781",21078-1,PAPEL ROSAL XXG PG 12 LLV 13,CON DINAMICA PROMOCIONAL,21078-1,PAPEL ROSAL XXG PG 12 LLV 13,BOGOTA
66,2022-06-01,1311,F2317,PAPELES NACIONALES S.A.,ROSAL,DEPOSITO SELECTO SUCESORES,PAPEL HIGIENICO ROSAL PLUS TRIPLE HOJA X 1 UN,7702120010169,,ROSAL 2 EN 1 *54,SIN DINAMICA PROMOCIONAL,,,BOGOTA
67,2022-06-01,1311,F2319,DRYPERS ANDINA S.A,ELITE,GRUPO BENDICON S.A.S,PAPEL HIGIENICO ELITE DUO EL ROLLOTE X 1 UN,"7707199348809, 7707199345006, 7707199345488",8417,PEPEL HIGIENICO ROLLOTE X 24 UND,SIN DINAMICA PROMOCIONAL,,,BOGOTA
68,2022-06-01,2671,F2320,DRYPERS ANDINA S.A,ELITE,DSOSA S.A.S,PAPEL HIGIENICO ELITE DUO EL ROLLOTE X 1 UN,"7707199348809, 7707199345006, 7707199345488",5100491,P.H AMARILLO ELITE* 24,SIN DINAMICA PROMOCIONAL,,,BOGOTA
69,2022-06-01,1627,F2322,DRYPERS ANDINA S.A,ELITE,DISTRIOFERTAS EC S.A.S,PAPEL HIGIENICO ELITE MAX X 1 UN,"7707199345419, 7707199340155",,ELITE MEGA ROSADO *30 UND,SIN DINAMICA PROMOCIONAL,,,BOGOTA
70,2022-06-01,CC1005411606,F2324,COLOMBIANA KIMBERLY COLPAPEL,SCOTT,CANDY GLOBAL S.A.S,PAPEL HIGIENICO SCOTT CUIDADO COMPLETO TRIPLE HOJA X 1 UN,7702425803015,16062-9,PAPEL SCOTT CUIDADO COMPLETO X 24 UND GTS ROLLO CUIDADO COMPL,CON DINAMICA PROMOCIONAL,16062-9,PAPEL SCOTT CUIDADO COMPLETO X 24 UND GTS ROLLO CUIDADO COMPL,BOGOTA
71,2022-06-01,CC51750936,F2325,COLOMBIANA KIMBERLY COLPAPEL,SCOTT,CANDY GLOBAL S.A.S,"PAPEL HIGIENICO SCOTT RINDEMAX XG X 1 UN, PAPEL RINDEMAX DOBLE HOJA SCOTT X 1 UN, PAPEL HIGIENICO SCOTT RINDEMAX X 1 UN","7702425811126, 7702425644724, 7702425807952",16100-2,PH SCOTT RINDEMAX X 30 UND GTS PH SCOTT RINDEMAX XXG X 1 UND,CON DINAMICA PROMOCIONAL,16100-2,PH SCOTT RINDEMAX X 30 UND GTS PH SCOTT RINDEMAX XXG X 1 UND,BOGOTA
72,2022-06-01,CC23561426,F2326,COLOMBIANA KIMBERLY COLPAPEL,SCOTT,CANDY GLOBAL S.A.S,"PAPEL HIGIENICO SCOTT RINDEMAX XG X 1 UN, PAPEL RINDEMAX DOBLE HOJA SCOTT X 1 UN, PAPEL HIGIENICO SCOTT RINDEMAX X 1 UN","7702425811126, 7702425644724, 7702425807952",16100-2,PH SCOTT RINDEMAX X 30 UND GTS PH SCOTT RINDEMAX XXG X 1 UND,CON DINAMICA PROMOCIONAL,16100-2,PH SCOTT RINDEMAX X 30 UND GTS PH SCOTT RINDEMAX XXG X 1 UND,BOGOTA
73,2022-06-01,CC19455912,F2327,COLOMBIANA KIMBERLY COLPAPEL,SCOTT,CANDY GLOBAL S.A.S,PAPEL HIGIENICO SCOTT CUIDADO COMPLETO TRIPLE HOJA X 1 UN,7702425803015,16062-9,PAPEL SCOTT CUIDADO COMPLETO X 24 UND GTS ROLLO CUIDADO COMPL,CON DINAMICA PROMOCIONAL,16062-9,PAPEL SCOTT CUIDADO COMPLETO X 24 UND GTS ROLLO CUIDADO COMPL,BOGOTA
74,2022-06-01,CC51962062,F2328,COLOMBIANA KIMBERLY COLPAPEL,SCOTT,CANDY GLOBAL S.A.S,PAPEL HIGIENICO SCOTT CUIDADO COMPLETO TRIPLE HOJA X 1 UN,7702425803015,16062-9,PAPEL SCOTT CUIDADO COMPLETO X 24 UND GTS ROLLO CUIDADO COMPL,CON DINAMICA PROMOCIONAL,16062-9,PAPEL SCOTT CUIDADO COMPLETO X 24 UND GTS ROLLO CUIDADO COMPL,BOGOTA
75,2022-06-01,CC63494864,F2329,COLOMBIANA KIMBERLY COLPAPEL,SCOTT,CANDY GLOBAL S.A.S,"PAPEL HIGIENICO SCOTT RINDEMAX XG X 1 UN, PAPEL RINDEMAX DOBLE HOJA SCOTT X 1 UN, PAPEL HIGIENICO SCOTT RINDEMAX X 1 UN","7702425811126, 7702425644724, 7702425807952",16100-2,PH SCOTT RINDEMAX X 30 UND GTS PH SCOTT RINDEMAX XXG X 1 UND,CON DINAMICA PROMOCIONAL,16100-2,PH SCOTT RINDEMAX X 30 UND GTS PH SCOTT RINDEMAX XXG X 1 UND,BOGOTA
